sample_idx,sample_id,yelp_idx,yelp_business_id,match_confidence,best_name_source,name_similarity,base_name_similarity,sample_name,sample_base_name,yelp_name,best_categories_source,categories_similarity,base_categories_similarity,sample_categories,sample_base_categories,yelp_categories,best_address_source,address_similarity,base_address_similarity,sample_address,sample_base_address,yelp_address
14,1970324842101934,2,tUFrWirKiKi_TAnsVWINQQ,0.38280000000000003,tie,0.4,0.4,dtlr,dtlr,target,tie,0.0,0.0,"['shoe_store', 'clothing_store', 'retail']","['shoe_store', 'clothing_store', 'retail']","['department_stores', 'shopping', 'fashion', 'home_&_garden', 'electronics', 'furniture_stores']",base,0.30100000000000005,0.357,"{'address': '4640 n southside plaza st', 'city': 'richmond', 'state': 'VA', 'postal_code': '23224'}","{'address': '4740 s e southside plaza', 'city': 'richmond', 'state': 'VA', 'postal_code': '23224'}","{'address': '5255 e broadway blvd', 'city': 'tucson', 'state': 'AZ', 'postal_code': '85711'}"
15,08f281334dcd60a303d3ca8e7eff2b77,360,JfGfqCnk0-Tnf6PlahPUJQ,0.5416,tie,0.72,0.72,burger king,burger king,burger village,tie,0.0,0.0,"['fast_food_restaurant', 'burger_restaurant', 'restaurant']","['beverage_supplier', 'burger_restaurant', 'fast_food_restaurant', 'business_equipment_and_supply', 'food_and_beverage_consultant', 'restaurant', 'business_to_business']","['restaurants', 'burgers']",tie,0.274,0.274,"{'address': '2561 campus dr', 'city': 'klamath falls', 'state': 'OR', 'postal_code': '97601'}","{'address': '2561 campus dr', 'city': 'klamath falls', 'state': 'OR', 'postal_code': '97601'}","{'address': '6187 currents drive nw', 'city': 'edmonton', 'state': 'AB', 'postal_code': 'T6W 0L9'}"
17,08f44e554128900503a7df0284a7d549,3386,4ulvTVp4_eXb3XVMrXfRyQ,0.556,tie,0.62,0.62,lulu's bar & resto,lulu's bar & resto,alfresco's,tie,0.0,0.0,"['bar_and_grill_restaurant', 'restaurant', 'diner']","['pub', 'bar', 'restaurant']","['event_planning_&_services', 'bars', 'seafood', 'nightlife', 'hotels_&_travel', 'restaurants', 'hotels', 'american_(traditional)', 'american_(new)']",tie,0.4600000000000001,0.4600000000000001,"{'address': '9902 s thomas dr', 'city': 'panama city beach', 'state': 'FL', 'postal_code': '32408'}","{'address': '9902 s thomas dr', 'city': 'panama city beach', 'state': 'FL', 'postal_code': '32408'}","{'address': '501 5th ave ne', 'city': 'st petersburg', 'state': 'FL', 'postal_code': '33701'}"
18,1125899912492752,1262,tFh0DrDMTom4B3pHpDpRNQ,0.4700000000000001,tie,0.42,0.42,fastest labs pittsburgh,fastest labs pittsburgh,platoon fitness,tie,0.0,0.0,"['laboratory_testing', 'clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'laboratory', 'health_and_medical', 'business_to_business']","['laboratory_testing', 'clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'laboratory', 'health_and_medical', 'business_to_business']","['boot_camps', 'weight_loss_centers', 'health_&_medical', 'gyms', 'trainers', 'fitness_&_instruction', 'active_life', 'martial_arts', 'massage_therapy', 'nutritionists']",non_base,0.5450000000000002,0.489,"{'address': '100 fleet st', 'city': 'pittsburgh', 'state': 'PA', 'postal_code': '15220'}","{'address': '100 fleet st ste 103', 'city': 'pittsburgh', 'state': 'PA', 'postal_code': '15220'}","{'address': '716 walnut st', 'city': 'philadelphia', 'state': 'PA', 'postal_code': '19106'}"
19,08f26ea82388e7990365b4a4be4226e2,276,VbItL6RDULtnw4YvB6EhVg,0.42800000000000005,tie,0.56,0.56,jill r johnson aprn cnp,jill r johnson aprn cnp,jon's bar & grille,tie,0.0,0.0,"['nurse_practitioner', 'health_and_medical']","['nurse_practitioner', 'health_and_medical']","['tex-mex', 'restaurants', 'american_(traditional)', 'nightlife', 'bars']",tie,0.23000000000000004,0.23000000000000004,"{'address': '1021 e bryan ave', 'city': 'sapulpa', 'state': 'OK', 'postal_code': '74066'}","{'address': '1021 e bryan ave', 'city': 'sapulpa', 'state': 'OK', 'postal_code': '74066'}","{'address': '300 south st', 'city': 'philadelphia', 'state': 'PA', 'postal_code': '19147'}"
21,08f2659a2d05a4b103cc0338dfb94fa1,7505,vPlhhf6CcB5dzQv1sEwlvg,0.5828,tie,0.71,0.71,orangetheory fitness,orangetheory fitness,planet fitness,tie,0.125,0.125,"['gym', 'active_life', 'health_and_medical']","['boot_camp', 'gym', 'active_life']","['gyms', 'fitness_&_instruction', 'tanning', 'trainers', 'beauty_&_spas', 'active_life']",base,0.38,0.392,"{'address': '4615 poplar ave', 'city': 'memphis', 'state': 'TN', 'postal_code': '38117'}","{'address': '4615 poplar ave 12', 'city': 'memphis', 'state': 'TN', 'postal_code': '38117'}","{'address': '4880 nolensville pike rd', 'city': 'nashville', 'state': 'TN', 'postal_code': '37211'}"
22,1407374885778830,861,mWv9wdM5OD7tiDzf3DkyXw,0.518,non_base,0.62,0.38,fitness together,fitness together - jenks riverside,la fitness,tie,0.14285714285714285,0.14285714285714285,"['gym', 'active_life']","['gym', 'active_life']","['yoga', 'gyms', 'sports_clubs', 'active_life', 'trainers', 'fitness_&_instruction']",tie,0.365,0.365,"{'address': '9708 riverside pkwy ste d', 'city': 'tulsa', 'state': 'OK', 'postal_code': '74137'}","{'address': '9708 riverside pkwy ste d', 'city': 'tulsa', 'state': 'OK', 'postal_code': '74137'}","{'address': '5885 w arizona pavilions dr', 'city': 'tucson', 'state': 'AZ', 'postal_code': '85743'}"
23,08f2a1054d2dd7b003431719d93037ed,15156,Z4mRw6Pq5Q9XDQtRctQThQ,0.46440000000000003,tie,0.5,0.5,rei,rei,prime,tie,0.0,0.0,"['outdoor_gear', 'sporting_goods']","['t_shirt_store', 'outdoor_gear', 'clothing_store', 'retail']","['restaurants', 'burgers']",tie,0.41100000000000003,0.41100000000000003,"{'address': '2200 bergen town ctr', 'city': 'paramus', 'state': 'NJ', 'postal_code': '07652'}","{'address': '2200 bergen town ctr', 'city': 'paramus', 'state': 'NJ', 'postal_code': '07652'}","{'address': '322 rowan blvd', 'city': 'glassboro', 'state': 'NJ', 'postal_code': '08028'}"
24,08f2986a82c92b5003309ff5c3c715bf,8063,bKgyXSQUGA8IHGt8ne5NuA,0.7756,tie,1.0,1.0,chipotle mexican grill,chipotle mexican grill,chipotle mexican grill,tie,0.0,0.0,"['mexican_restaurant', 'eat_and_drink']","['fast_food_restaurant', 'mexican_restaurant', 'restaurant']","['restaurants', 'mexican', 'fast_food']",tie,0.439,0.439,"{'address': '6780 n 5th st', 'city': 'north las vegas', 'state': 'NV', 'postal_code': '89084'}","{'address': '6780 n 5th st', 'city': 'north las vegas', 'state': 'NV', 'postal_code': '89084'}","{'address': '6395 s mccarran blvd, unit a', 'city': 'reno', 'state': 'NV', 'postal_code': '89509'}"
25,1125899908867665,928,hfN3l0gJ-XszD1XFGNvA6A,0.49800000000000005,tie,0.55,0.55,garage,garage,akira,tie,0.0,0.0,"['designer_clothing', 'clothing_store', 'retail']","['designer_clothing', 'clothing_store', 'retail']","['japanese', 'restaurants']",non_base,0.42000000000000004,0.40800000000000003,"{'address': '900 maple ave, #b29', 'city': 'burlington', 'state': 'ON', 'postal_code': 'L7S 2J8'}","{'address': '900 maple avenue, #b29', 'city': 'burlington', 'state': 'ON', 'postal_code': 'L7S 2J8'}","{'address': '720 haddon ave', 'city': 'collingswood', 'state': 'NJ', 'postal_code': '08108'}"
26,08f2a8c10a6a681003edc1e418ee0a32,272,rYOrSXy2I4BcxB7dhg29uA,0.48560000000000003,tie,0.56,0.56,charlottesville voter registration,charlottesville voter registration,restoration hardware,tie,0.0,0.0,"['public_service_and_government', 'public_and_government_association', 'central_government_office']",['registry_office'],"['shopping', 'furniture_stores', 'home_&_garden']",base,0.318,0.374,"{'address': '120 7th st ne', 'city': 'charlottesville', 'state': 'VA', 'postal_code': '22902'}","{'address': '120 7th st ne ste 122', 'city': 'charlottesville', 'state': 'VA', 'postal_code': '22902'}","{'address': '2126 abbott martin rd, ste 265', 'city': 'nashville', 'state': 'TN', 'postal_code': '37215'}"
27,08f44c2011985b0e030204dcf297b66d,64,qfWJmJ0g96eM_fWma3ja0g,0.41960000000000003,tie,0.43,0.43,waynesboro chrysler dodge jeep ram,waynesboro chrysler dodge jeep ram,doc magrogan's oyster house - west chester,tie,0.0,0.0,"['car_dealer', 'automotive_dealer', 'automotive_repair']","['auto_parts_and_supply_store', 'used_car_dealer', 'automotive', 'retail']","['seafood', 'restaurants', 'bars', 'nightlife', 'cocktail_bars', 'american_(new)', 'pubs']",tie,0.404,0.404,"{'address': '480 us highway 25 n', 'city': 'waynesboro', 'state': 'GA', 'postal_code': '30830'}","{'address': '480 us highway 25 n', 'city': 'waynesboro', 'state': 'GA', 'postal_code': '30830'}","{'address': '117 e gay st', 'city': 'west chester', 'state': 'PA', 'postal_code': '19380'}"
28,08f2662cb451449b03d49dcac24ed54a,26028,XsEOrEtYCiQIvvKDyBrGNw,0.5236000000000001,tie,0.54,0.54,viviane m santos cnp,viviane m santos cnp,valvoline instant oil change,tie,0.0,0.0,"['health_consultant', 'doctor', 'active_life']","['health_consultant', 'doctor', 'active_life', 'health_and_medical']","['automotive', 'auto_repair', 'oil_change_stations']",tie,0.499,0.499,"{'address': '5111 n glen park place rd', 'city': 'peoria', 'state': 'IL', 'postal_code': '61614'}","{'address': '5111 n glen park place rd', 'city': 'peoria', 'state': 'IL', 'postal_code': '61614'}","{'address': '419 carlyle rd', 'city': 'belleville', 'state': 'IL', 'postal_code': '62221'}"
30,1407374886630445,29606,qbh_Xg-wfgk_qINdyApMag,0.39,non_base,0.31,0.21,heartland mortgage - bobbie jo haggard,heartland mortgage bobbie jo haggard nmls 92472,valvoline instant oil change,tie,0.0,0.0,"['mortgage_lender', 'mortgage_broker']","['mortgage_lender', 'mortgage_broker']","['oil_change_stations', 'automotive']",tie,0.51,0.51,"{'address': '30 s palouse st', 'city': 'walla walla', 'state': 'WA', 'postal_code': '99362'}","{'address': '30 s palouse st', 'city': 'walla walla', 'state': 'WA', 'postal_code': '99362'}","{'address': '325 ne myra road', 'city': 'college place', 'state': 'WA', 'postal_code': '99324'}"
31,08f44e06aa0b5a4a03caf2e60bd69a4a,356,yooufdsf3eAVq_9RQNSDJA,0.4716,tie,0.55,0.55,terminix,terminix,mazzoni center,tie,0.0,0.0,['pest_control_service'],['pest_control_service'],"['local_services', 'community_service/non-profit', 'health_&_medical', 'doctors', 'family_practice', 'medical_centers', 'counseling_&_mental_health']",tie,0.3540000000000001,0.3540000000000001,"{'address': '334 s collier st', 'city': 'bainbridge', 'state': 'GA', 'postal_code': '39819'}","{'address': '334 s collier st', 'city': 'bainbridge', 'state': 'GA', 'postal_code': '39819'}","{'address': '1348 bainbridge st, fl 2', 'city': 'philadelphia', 'state': 'PA', 'postal_code': '19147'}"
33,281474979329236,95091,oTRrNy5VIaTw7MKEvxZl7A,0.41000000000000003,tie,0.31,0.31,women's health boutique,women's health boutique,wildlife wonders,tie,0.0,0.0,"['medical_supply', 'wig_store', 'orthotics', 'health_and_medical', 'retail']","['medical_supply', 'wig_store', 'orthotics', 'health_and_medical', 'retail']","['shopping', 'outdoor_furniture_stores', 'home_decor', 'jewelry', 'home_&_garden']",non_base,0.56,0.42,"{'address': '3115 w parker rd ste 270', 'city': 'plano', 'state': 'TX', 'postal_code': '75023'}","{'address': '3115 w parker rd 270', 'city': 'plano', 'state': 'TX', 'postal_code': '75023'}","{'address': '7703 n lamar blvd, ste 118', 'city': 'austin', 'state': 'TX', 'postal_code': '78752'}"
34,08f26567197a3b3603beda847a81c35f,770,2DsplH_vy4GCcEnVpn0AbA,0.4188,tie,0.53,0.53,kc solar,kc solar,cafe olivia,tie,0.0,0.0,"['energy_equipment_and_solution', 'solar_installation', 'home_improvement_store']","['energy_equipment_and_solution', 'solar_installation', 'business_equipment_and_supply', 'business_to_business']","['sandwiches', 'breakfast_&_brunch', 'food_stands', 'italian', 'restaurants']",base,0.20800000000000002,0.252,"{'address': '8101 college blvd', 'city': 'overland park', 'state': 'KS', 'postal_code': '66210'}","{'address': '8101 college blvd ste 100', 'city': 'overland park', 'state': 'KS', 'postal_code': '66210'}","{'address': '222 e market st', 'city': 'indianapolis', 'state': 'IN', 'postal_code': '46204'}"
35,1125899912260220,13486,ONq8TMa2Oiq8zgviktn6NA,0.5896000000000001,tie,0.47,0.47,commerce bank atm,commerce bank atm,masterpiece bar-b-que,tie,0.0,0.0,['atms'],['atms'],"['restaurants', 'barbeque', 'local_flavor']",tie,0.7690000000000001,0.7690000000000001,"{'address': '1020 s 5th st', 'city': 'saint charles', 'state': 'MO', 'postal_code': '63301'}","{'address': '1020 s 5th st', 'city': 'saint charles', 'state': 'MO', 'postal_code': '63301'}","{'address': '201 n 7th st', 'city': 'saint louis', 'state': 'MO', 'postal_code': '63101'}"
36,08f266d4a16a03ab0311ad6f84dc7077,649,oSp8B87eQ8droCGiWUERZA,0.4676,tie,0.48,0.48,mr roof louisville,mr roof louisville,moose music row,tie,0.0,0.0,"['roofing', 'contractor', 'home_improvement_store']","['roofing', 'ceiling_service', 'ceiling_and_roofing_repair_and_service']","['hair_salons', 'massage', 'beauty_&_spas', 'barbers']",base,0.369,0.44900000000000007,"{'address': '3600 chamberlain ln', 'city': 'louisville', 'state': 'KY', 'postal_code': '40241'}","{'address': '2304 ralph ave', 'city': 'louisville', 'state': 'KY', 'postal_code': '40216'}","{'address': '1203 16th ave s', 'city': 'nashville', 'state': 'TN', 'postal_code': '37212'}"
37,08f44c021830026803d17bc7c5fb545d,335,xvFV3ENVa_9POy_grBs03Q,0.5292000000000001,tie,0.66,0.66,campbell veterinary hospital,campbell veterinary hospital,warminster veterinary hospital,base,0.0,0.2,"['veterinarian', 'hospital', 'social_service_organizations']","['animal_hospital', 'pet_services', 'veterinarian', 'pets']","['pets', 'veterinarians']",tie,0.3330000000000001,0.3330000000000001,"{'address': '106 walmart dr', 'city': 'eatonton', 'state': 'GA', 'postal_code': '31024'}","{'address': '102 walmart dr', 'city': 'eatonton', 'state': 'GA', 'postal_code': '31024'}","{'address': '405 york rd', 'city': 'warminster', 'state': 'PA', 'postal_code': '18974'}"
38,08f2a100d8654204037ff5b80140ed5d,410,FAWhZ5nasogf2oG_9h7yjg,0.5332,tie,0.63,0.63,local locker storage,local locker storage,storage of america,tie,0.0,0.0,"['self_storage_facility', 'storage_facility']",['self_storage_facility'],"['self_storage', 'local_services']",non_base,0.388,0.384,"{'address': '1320 fulton st', 'city': 'brooklyn', 'state': 'NY', 'postal_code': '11216'}","{'address': '1320 fulton st.', 'city': 'brooklyn', 'state': 'NY', 'postal_code': '11216'}","{'address': '7339 e washington st', 'city': 'indianapolis', 'state': 'IN', 'postal_code': '46219'}"
41,08f274864eb8c0f30307c49f06635d20,57832,9gU9waGZhzOOpUy78O_YBQ,0.3532,base,0.21,0.3,signwriter,sign writer,mr brakes,tie,0.0,0.0,"['sign_making', 'printing_services', 'professional_services']","['printing_services', 'sign_making']","['oil_change_stations', 'wheel_&_rim_repair', 'automotive', 'towing', 'auto_repair', 'auto_parts_&_supplies']",tie,0.43300000000000005,0.43300000000000005,"{'address': '633 w michigan ave', 'city': 'kalamazoo', 'state': 'MI', 'postal_code': '49007'}","{'address': '633 w michigan ave', 'city': 'kalamazoo', 'state': 'MI', 'postal_code': '49007'}","{'address': '26671 gratiot ave', 'city': 'roseville', 'state': 'MI', 'postal_code': '48066'}"
43,1407374885598016,11577,aDn90OI3HgzO8A2FO46j9Q,0.9328,tie,1.0,1.0,mister car wash,mister car wash,mister car wash,tie,0.6,0.6,"['auto_detailing', 'car_wash', 'automotive']","['auto_detailing', 'car_wash', 'automotive']","['car_wash', 'auto_detailing', 'oil_change_stations', 'automotive', 'gas_stations']",tie,0.832,0.832,"{'address': '1435 w river rd', 'city': 'tucson', 'state': 'AZ', 'postal_code': '85704'}","{'address': '1435 w river rd', 'city': 'tucson', 'state': 'AZ', 'postal_code': '85704'}","{'address': '8175 n oracle rd', 'city': 'tucson', 'state': 'AZ', 'postal_code': '85704'}"
44,08f44a18511700c5039a1e230fdc197c,5892,SuSM_GQtmxrUR4egJmGM2w,0.626,tie,0.71,0.71,smoothie king,smoothie king,planet smoothie,tie,0.0,0.0,"['smoothie_juice_bar', 'eat_and_drink']","['smoothie_juice_bar', 'health_market', 'restaurant', 'retail']","['juice_bars_&_smoothies', 'food']",tie,0.5,0.5,"{'address': '12520 sw 88th st', 'city': 'miami', 'state': 'FL', 'postal_code': '33186'}","{'address': '12520 sw 88th st', 'city': 'miami', 'state': 'FL', 'postal_code': '33186'}","{'address': '11852 bruce b downs blvd', 'city': 'tampa', 'state': 'FL', 'postal_code': '33612'}"
45,08f446c24248389c03f8f8dbd8576f9f,95091,oTRrNy5VIaTw7MKEvxZl7A,0.3788,tie,0.27,0.27,viking sewing gallery,viking sewing gallery,wildlife wonders,tie,0.0,0.0,"['sewing_and_alterations', 'arts_and_crafts', 'fabric_store']","['appliance_store', 'sewing_and_alterations', 'retail']","['shopping', 'outdoor_furniture_stores', 'home_decor', 'jewelry', 'home_&_garden']",base,0.514,0.542,"{'address': '25415 interstate 45', 'city': 'spring', 'state': 'TX', 'postal_code': '77380'}","{'address': '25415 interstate 45, ste d', 'city': 'spring', 'state': 'TX', 'postal_code': '77380'}","{'address': '7703 n lamar blvd, ste 118', 'city': 'austin', 'state': 'TX', 'postal_code': '78752'}"
48,1125899911221207,799,Y370KeuqfpmmH0RmRT4F3Q,0.3916,tie,0.38,0.38,mike mcclaskie - state farm insurance agent,mike mcclaskie - state farm insurance agent,tire choice auto service centers,tie,0.0,0.0,"['auto_insurance', 'home_and_rental_insurance']","['auto_insurance', 'home_and_rental_insurance']","['automotive', 'wheel_&_rim_repair', 'body_shops', 'oil_change_stations', 'auto_repair', 'tires']",tie,0.40900000000000003,0.40900000000000003,"{'address': '2810 london groveport rd', 'city': 'grove city', 'state': 'OH', 'postal_code': '43123'}","{'address': '2810 london groveport rd', 'city': 'grove city', 'state': 'OH', 'postal_code': '43123'}","{'address': '2185 droste rd', 'city': 'st. charles', 'state': 'MO', 'postal_code': '63301'}"
49,08f2af62655ad02303c1c002aed33a25,87,YNjyv0gfOr2g8lbmUpTnKg,0.47240000000000004,non_base,0.55,0.38,code ninjas,code ninjas virginia beach,copper vine,tie,0.0,0.0,"['education', 'specialty_school', 'b2b_science_and_technology']","['kids_recreation_and_party', 'specialty_school', 'education']","['nightlife', 'pubs', 'event_planning_&_services', 'wine_bars', 'bars', 'gastropubs', 'restaurants', 'venues_&_event_spaces']",base,0.3480000000000001,0.356,"{'address': '3300 princess anne rd', 'city': 'virginia beach', 'state': 'VA', 'postal_code': '23456'}","{'address': '3300 princess anne rd ste 739', 'city': 'virginia beach', 'state': 'VA', 'postal_code': '23456'}","{'address': '1001 poydras st', 'city': 'new orleans', 'state': 'LA', 'postal_code': '70112'}"
50,08f2664c9939219403dbde16d5780a75,42518,X0fFA4BOE7pT2AWbf2UANQ,0.41600000000000004,tie,0.44,0.44,bp,bp,labcorp,tie,0.0,0.0,"['gas_station', 'convenience_store', 'shopping']","['gas_station', 'automotive']","['laboratory_testing', 'diagnostic_services', 'health_&_medical']",tie,0.38,0.38,"{'address': '6749 ogden ave', 'city': 'berwyn', 'state': 'IL', 'postal_code': '60402'}","{'address': '6749 ogden ave', 'city': 'berwyn', 'state': 'IL', 'postal_code': '60402'}","{'address': '1207 thouvenot ln, ste 400', 'city': 'shiloh', 'state': 'IL', 'postal_code': '62269'}"
51,08f269614b65270a03cda656d6a2aa1f,32345,f-S2Y0OO00cQjo8yj3upKg,0.3456,tie,0.34,0.34,solar guard utah,solar guard utah,find your zen,tie,0.0,0.0,"['car_window_tinting', 'windows_installation', 'glass_and_mirror_sales_service']","['car_window_tinting', 'auto_glass_service', 'home_window_tinting', 'automotive']","['health_&_medical', 'fitness_&_instruction', 'trainers', 'active_life', 'yoga', 'nutritionists']",non_base,0.354,0.3360000000000001,"{'address': '2550 s decker lake blvd', 'city': 'west valley city', 'state': 'UT', 'postal_code': '84119'}","{'address': '2550 s decker lake blvd ste 1', 'city': 'salt lake city', 'state': 'UT', 'postal_code': '84119'}","{'address': '', 'city': 'eagle', 'state': 'UT', 'postal_code': '83616'}"
